# Filename:      /opt/rtcds/userapps/trunk/vis/common/scripts/healthcheck/sensor/noises/TypeA_BF_GAS.txt
# Plot type:     Power spectrum
# Output Format: XY  Zero time  
# Channels:                    A                       Conversion
# Column 1   K1:VIS-ETMY_BF_LVDTINF_GAS_OUT16(REF0)    Magnitude
# Column 2   K1:VIS-ETMY_BF_LVDTINF_GAS_OUT16(REF1)    Magnitude
# Column 3   K1:VIS-ETMY_BF_LVDTINF_GAS_OUT16          Magnitude
# Data:
0.030273423  0.47670254   0.093364723  3.5577929   
0.031249983  0.37640443   0.10465105   3.2505167   
0.032226548  0.36156556   0.09144599   3.323684    
0.033203106  0.4270727    0.08793287   3.866514    
0.034179669  0.44313416   0.09579356   3.3074968   
0.035156231  0.4502387    0.094095685  3.8952277   
0.036132794  0.56862658   0.087232806  3.6273961   
0.037109356  0.62274843   0.078679428  3.0849662   
0.038085919  0.43451068   0.087227091  3.5270844   
0.039062481  0.36372361   0.10032735   3.7185428   
0.04003904   0.36307925   0.086898901  3.4066226   
0.041015603  0.31873378   0.08056055   3.5460389   
0.041992165  0.3539567    0.08939638   3.3818204   
0.042968728  0.33255252   0.09358196   3.1145437   
0.04394529   0.33323288   0.087250695  2.9048729   
0.044921853  0.33807868   0.084519222  3.1366041   
0.045898415  0.32122165   0.083926365  3.0231698   
0.046874978  0.30964926   0.081222773  3.0470841   
0.047851536  0.32995307   0.080627091  2.9804742   
0.048828099  0.31475693   0.084025204  3.0282817   
0.049804661  0.24152726   0.081796668  2.9349446   
0.050781224  0.24931194   0.072274253  2.4794333   
0.051757786  0.27478182   0.079941623  2.6540239   
0.052734349  0.24341309   0.083568804  2.9887879   
0.053710911  0.2206694    0.086566724  2.749634    
0.05468747   0.25182277   0.082213417  2.4834428   
0.055664033  0.22957654   0.075961292  2.470042    
0.056640595  0.24678732   0.070822701  2.7343357   
0.057617158  0.25698829   0.070818819  3.0282617   
0.05859372   0.22224765   0.078464463  2.820869    
0.059570283  0.23833954   0.090125144  2.6451821   
0.060546845  0.21245459   0.090608157  2.5421464   
0.061523408  0.19713871   0.071397029  2.6728847   
0.062499966  0.20980711   0.05485443   2.7632465   
0.063476533  0.19445552   0.065222263  3.0393634   
0.064453095  0.23762219   0.074414343  2.7793429   
0.065429658  0.24119683   0.068561003  2.6791158   
0.066406213  0.23746429   0.065674216  2.7092998   
0.067382775  0.22980019   0.07615038   2.5264444   
0.068359338  0.20988099   0.058956951  2.2371562   
0.0693359    0.2032164    0.063362025  2.7302868   
0.070312463  0.20855494   0.062454864  2.9543693   
0.071289025  0.17578465   0.064630307  2.735208    
0.072265588  0.17459004   0.072458118  2.4863465   
0.07324215   0.20271178   0.075432152  2.8864589   
0.074218713  0.19150721   0.068695292  2.9224465   
0.075195275  0.18125433   0.0675193    2.4554639   
0.076171838  0.1733454    0.068090484  2.6054232   
0.0771484    0.20573999   0.069273569  2.7103124   
0.078124963  0.20615263   0.06452778   2.6401327   
0.079101525  0.19770315   0.057985734  2.6157823   
0.08007808   0.19706178   0.065582559  2.4559898   
0.081054643  0.16369297   0.068733342  2.9981284   
0.082031205  0.20002535   0.070909478  3.237427    
0.083007768  0.1841422    0.072448678  3.2621653   
0.08398433   0.1684956    0.062381718  2.6806026   
0.084960893  0.15879023   0.065315507  2.4431431   
0.085937455  0.17580549   0.070946798  2.4944632   
0.086914018  0.18701239   0.066830978  2.5971746   
0.08789058   0.16265194   0.064147644  2.8620875   
0.088867143  0.18699072   0.066947192  2.1273198   
0.089843705  0.17315538   0.063004978  2.4441853   
0.090820268  0.15463287   0.063485302  2.6179016   
0.09179683   0.15207237   0.05990513   2.7528486   
0.092773393  0.17373465   0.06424661   2.2249815   
0.093749955  0.16911325   0.066222541  2.1873085   
0.09472651   0.16174833   0.060746986  2.4252641   
0.095703073  0.15675054   0.060858063  2.677732    
0.096679635  0.17374678   0.055441983  2.3761387   
0.097656198  0.15936628   0.055866517  2.211391    
0.09863276   0.1586078    0.065050133  2.3967764   
0.099609323  0.16781977   0.064706847  2.6511228   
0.10058589   0.14640325   0.065639652  2.838382    
